0	1
0	3
0	6
0	14
0	16
0	18
1	2
1	5
1	12
1	13
1	28
1	35
3	4
3	8
3	25
3	29
3	32
3	36
6	7
6	9
6	10
6	11
6	26
6	31
14	15
14	21
14	22
14	23
14	24
14	27
14	33
14	37
16	17
16	30
16	34
18	19
18	20
18	38
39	40
39	45
39	49
39	51
39	54
39	56
39	58
39	60
40	41
40	42
40	43
40	44
40	53
40	65
40	67
40	72
40	74
40	79
45	46
45	47
45	48
45	66
45	68
45	71
45	80
49	50
49	73
49	77
51	52
51	70
54	55
54	81
56	57
56	62
56	63
56	64
56	75
58	59
58	69
58	76
58	78
60	61
82	83
82	85
82	87
82	89
82	91
82	94
82	96
82	99
82	101
83	84
83	106
83	107
83	113
83	120
85	86
85	93
85	98
85	104
85	108
85	115
85	117
87	88
87	116
89	90
89	109
89	112
91	92
91	118
91	119
94	95
94	103
94	105
94	121
96	97
96	114
99	100
99	110
101	102
101	111
122	123
122	125
122	127
122	128
122	132
122	134
122	138
122	139
122	147
122	151
122	154
122	157
122	162
122	166
122	171
123	124
123	144
123	161
123	185
123	220
125	126
125	130
125	156
125	159
125	164
125	168
125	176
125	179
125	208
125	214
125	215
125	218
127	131
127	137
127	141
127	170
128	129
128	136
132	133
132	142
132	175
132	199
132	200
132	213
132	221
132	226
134	135
134	145
134	183
134	186
134	197
134	206
138	143
138	149
138	150
138	160
138	165
138	191
138	217
138	222
138	224
138	225
139	140
139	146
139	181
139	194
139	203
147	148
147	182
147	211
151	152
151	153
151	169
151	174
151	178
151	187
151	188
151	189
151	195
151	196
151	198
151	212
154	155
154	180
154	209
154	210
157	158
157	204
162	163
162	184
162	190
162	193
162	201
162	202
166	167
166	173
166	177
166	205
171	172
171	192
171	207
171	216
171	219
171	223
227	228
227	230
227	232
227	234
227	237
227	239
227	241
227	247
227	252
227	256
227	259
227	260
227	263
227	283
228	229
228	236
228	244
228	255
228	277
228	279
228	285
228	297
230	231
230	242
230	245
230	249
230	257
230	262
230	269
230	275
232	233
232	243
232	251
232	287
232	296
232	299
232	300
232	306
232	307
232	309
234	235
234	246
234	258
234	270
234	272
234	273
234	288
234	313
234	314
237	238
237	250
237	276
237	280
237	286
239	240
239	261
239	290
239	293
239	298
239	305
239	308
239	310
241	295
241	301
241	302
241	304
241	315
241	318
241	320
247	248
247	254
247	278
252	253
252	274
252	294
256	271
256	281
256	289
256	311
256	312
256	316
256	317
259	266
259	291
259	292
260	319
263	264
263	265
263	267
263	268
263	282
263	303
283	284
283	321
